ID,SKU,Nombre,Visibilidad en el catálogo,Precio normal,Meta: unidades_por_caja,Meta: el_producto_es_simple
1733,ZLE-852-1,Guirnalda caballitos del mar,visible,320,1,
1734,ZLE-852-1,Guirnalda caballitos del mar,visible,27500,100,
1737,,Guirnalda corazon de metal,visible,,,
1739,ZLS-861-3CA,Guirnalda corazon de metal,visible,400,,
1740,ZLE-10B,28 leds bolitas blancas,visible,,,
1742,ZLE-LN299,28 leds bolitas blancas,visible,340,,
1743,ZLE-LN299,28 leds bolitas blancas,visible,340,1,
1744,ZLE-10B,28 leds bolitas blancas,visible,340,1,
1745,ZLE-LN299,28 leds bolitas blancas,visible,29000,100,
1746,ZLE-LN299,28 leds bolitas blancas,visible,29000,100,
1747,ZLE-10B,28 leds bolitas blancas,visible,29000,100,
1748,,28 leds bolitas transparentes (burbujas),visible,,,
1749,ZLE-11B,28 leds bolitas transparentes (burbujas),visible,340,,
1750,ZLE-11B,28 leds bolitas transparentes (burbujas),visible,29000,100,
1751,ZLE-LN300,28 leds bolitas transparentes (burbujas),visible,340,1,
1752,ZLE-11B,28 leds bolitas transparentes (burbujas),visible,340,1,
1753,ZLE-LN300,28 leds bolitas transparentes (burbujas),visible,29000,100,
1754,ZLE-11B,28 leds bolitas transparentes (burbujas),visible,29000,100,
1756,ZLE-14B,28 leds bolitas transparentes,visible,,,
1758,ZLE-14B,28 leds bolitas transparentes,visible,280,1,
1761,ZLE-14B,28 leds bolitas transparentes,visible,24000,100,
1765,,28 leds libélula blandas,visible,,,
1766,CL-201,28 leds libélula blandas,visible,360,1,
1767,CL-201,28 leds libélula blandas,visible,31000,100,
1770,,28 leds corazón con perlas,visible,,,
1771,ZLE-21,28 leds corazón con perlas,visible,300,1,
1772,ZLE-21,28 leds corazón con perlas,visible,26000,100,
1774,,28 leds mariposas con perlas,visible,,,
1775,ZLE-13B,28 leds mariposas con perlas,visible,320,1,
1776,ZLE-13B,28 leds mariposas con perlas,visible,27000,100,
1778,,28 leds barra de hielo (burbujas),visible,,,
1779,ZLE-12B,28 leds barra de hielo (burbujas),visible,300,1,
1780,ZLE-12B,28 leds barra de hielo (burbujas),visible,26000,100,
1782,,28 leds estrellas con perlas,visible,,,
1783,ZLE-15B,28 leds estrellas con perlas,visible,26000,100,
1784,ZLE-15B,28 leds estrellas con perlas,visible,26000,100,
1785,ZLE-15B,28 leds estrellas con perlas,visible,300,,
1786,ZLE-15B,28 leds estrellas con perlas,visible,300,,
1788,,28 leds luna,visible,,,
1790,ZLE-22A,28 leds luna,visible,300,,
1791,ZLE-22A,28 leds luna,visible,26000,100,
1794,,28 leds piña,visible,,,
1795,ZLE-25A,28 leds piña,visible,320,,
1796,ZLE-25A,28 leds piña,visible,27000,100,
1798,,28 leds luna y estrella,visible,,,
1799,CL-200,28 leds luna y estrella,visible,30000,100,
1800,CL-200,28 leds luna y estrella,visible,30000,100,
1801,CL-200,28 leds luna y estrella,visible,350,,
1802,CL-200,28 leds luna y estrella,visible,350,,
1804,,28 leds abejas blandas,visible,,,
1805,ZLE-31B,28 leds abejas blandas,visible,37000,100,
1807,ZLE-31B,28 leds abejas blandas,visible,430,,
1810,,28 leds coronas transparentes,visible,,,
1811,ZLE-27,28 leds coronas transparentes,visible,27000,100,
1812,ZLE-27,28 leds coronas transparentes,visible,320,,
1815,,28 leds copo de nieve grande,visible,,,
1816,ZLE-19A,28 leds copo de nieve grande,visible,34000,100,
1817,ZLE-19A,28 leds copo de nieve grande,visible,400,,
1819,,28 leds copo de nieve chico,visible,,,
1820,ZLE-18A,28 leds copo de nieve chico,visible,26000,100,
1821,ZLE-18A,28 leds copo de nieve chico,visible,300,,
1828,,28 leds arbol,visible,,,Simple
1829,ZLE-17A,28 leds arbol,visible,27000,100,
1830,ZLE-17A,28 leds arbol,visible,320,,
1832,,28 leds  pompom,visible,,,
1833,ZLE-16,28 leds  pompom,visible,27000,100,
1834,ZLE-16,28 leds  pompom,visible,320,,
1836,ZLE-20,28 leds estrellas transparentes,visible,,,
1837,ZLE-20,28 leds estrellas transparentes,visible,27000,100,
1838,ZLE-20,28 leds estrellas transparentes,visible,27000,100,
1841,,28 leds broches,visible,,,Variable
1842,ZLE-29,28 leds broches,visible,24000,50,
1843,ZLE-29,28 leds broches,visible,560,,
1845,,28 leds maiz transparente,visible,,,
1846,ZLE-24A,28 leds maiz transparente,visible,27000,100,
1847,ZLE-24A,28 leds maiz transparente,visible,320,,
1849,,28 leds rosas transparentes,visible,,,
1850,NC-2,28 leds rosas transparentes,visible,52000,200,
1851,NC-2,28 leds rosas transparentes,visible,300,,
1853,,28 leds mariposas blandas,visible,,,
1854,ZLE-26B,28 leds mariposas blandas,visible,32000,100,
1855,ZLE-26B,28 leds mariposas blandas,visible,32000,100,
1856,ZLE-26B,28 leds mariposas blandas,visible,370,,
1857,ZLE-26B,28 leds mariposas blandas,visible,370,,
1862,,28 leds barras de hielo,visible,,,Simple
1863,ZLE-23A,28 leds barras de hielo,visible,26000,100,
1864,ZLE-23A,28 leds barras de hielo,visible,300,,
1867,,100 leds,visible,,,
1868,DC-3,100 leds,visible,33000,100,
1869,DC-3,100 leds,visible,33000,100,
1870,DC-3,100 leds,visible,33000,100,
1871,DC-3,100 leds,visible,33000,100,
1872,DC-3,100 leds,visible,33000,100,
1873,DC-3/ZLE-LN131,100 leds,visible,33000,100,
1874,DC-3,100 leds,visible,33000,100,
1875,DC-3,100 leds,visible,380,,
1876,DC-3,100 leds,visible,380,,
1877,DC-3,100 leds,visible,380,,
1878,DC-3,100 leds,visible,380,,
1879,DC-3,100 leds,visible,380,,
1880,DC-3,100 leds,visible,380,,
1881,DC-3/ZLE-LN131,100 leds,visible,380,,
1882,DC-3,100 leds,visible,380,,
1883,DC-3,100 leds,visible,380,1,
